wall_s	user_s	sys_s	rss_kb	exit	file
595.95	1307.49	4.87	8882984	0	SP1Chips/DivRem/DivwRemw.lean
338.71	707.21	3.73	8239476	0	SP1Chips/DivRem/DivRem.lean
273.57	367.35	4.09	10902176	0	SP1Operations/Operation/MulOperation/Constraints.lean
239.59	480.09	3.72	8360632	0	SP1Chips/DivRem/DivuRemu.lean
216.34	433.46	3.68	8444924	0	SP1Chips/DivRem/DivuwRemuw.lean
116.34	309.77	1.65	7257392	0	SP1Chips/ShiftRight/Common.lean
96.70	144.50	1.05	6858060	0	SP1Chips/ShiftLeft/Common.lean
84.94	85.58	1.17	7579108	1	SP1Chips/ShiftRight/Sraw.lean
59.90	59.25	1.09	7063048	0	SP1Chips/ShiftRight/Sra.lean
48.91	47.57	1.57	10777212	0	SP1Chips/DivRem/Constraints.lean
40.24	49.18	1.08	7219420	1	SP1Chips/ShiftRight/Srlw.lean
30.55	30.02	0.94	6834140	0	SP1Chips/ShiftRight/Srl.lean
25.98	48.49	1.05	7076120	0	SP1Chips/ShiftLeft/Sll.lean
22.43	80.90	1.67	7553224	0	SP1Foundations/SailM.lean
20.20	110.29	1.42	7392804	0	SP1Chips/DivRemChip.lean
15.43	29.38	0.85	6753320	0	SP1Chips/Branch/Common.lean
14.29	40.03	1.18	7208376	0	SP1Chips/MulChip.lean
12.64	13.00	0.86	6804240	0	SP1Chips/DivRem/ProdHelper.lean
12.59	61.50	1.19	7309936	0	SP1Chips/LoadX0Chip.lean
11.61	38.25	1.35	7411380	0	SP1Chips/ShiftRightChip.lean
11.18	46.35	1.14	7102716	0	SP1Chips/BranchChip.lean
10.90	23.92	1.07	7123208	0	SP1Chips/ShiftLeftChip.lean
10.63	29.65	1.09	6934576	0	SP1Foundations/Word.lean
10.07	27.10	1.12	7068336	0	SP1Chips/DivRem/Common.lean
6.99	14.76	0.90	6812264	0	SP1Chips/ShiftLeft/Sllw.lean
5.38	21.76	1.19	6720984	0	SP1Foundations/MemChecks.lean
3.56	5.20	0.84	6562616	0	SP1Chips/DivRem/AbsHelper.lean
3.45	4.93	0.83	6683372	0	SP1Chips/Soundness.lean
