TOTAL	3422.1	1687.0	-1735.2	-50.7%
Extracted.DivRemChip	461.62	30.98	-430.64	-93.3%
Extracted.MulOperation	141.57	9.44	-132.13	-93.3%
Chips.DivRemChip.OwnAsserts	91.99	7.35	-84.64	-92.0%
Operations.MulOperation.Formal	120.57	40.10	-80.47	-66.7%
Chips.BranchChip.Formal	94.64	21.44	-73.20	-77.3%
Extracted.ShiftRightChip	73.61	5.06	-68.55	-93.1%
Operations.MulOperation.Extracted	60.21	7.52	-52.69	-87.5%
Extracted.ShiftLeftChip	51.88	3.96	-47.92	-92.4%
Chips.ShiftRightChip.Soundness.Sraw	113.16	73.28	-39.88	-35.2%
Chips.DivRemChip.Defs	152.65	118.21	-34.44	-22.6%
Chips.ShiftRightChip.Defs	59.67	28.26	-31.41	-52.6%
Chips.DivRemChip.Soundness	36.12	9.31	-26.81	-74.2%
Chips.ShiftRightChip.Soundness.Srlw	94.19	68.59	-25.60	-27.2%
Chips.ShiftLeftChip.Defs	45.15	19.69	-25.46	-56.4%
Chips.ShiftRightChip.Soundness.Sra	102.69	81.35	-21.34	-20.8%
Chips.ShiftRightChip.Soundness.Srl	93.47	72.60	-20.87	-22.3%
Readers.ALUTypeReaderImmutable	25.45	6.20	-19.25	-75.6%
Chips.StoreByteChip.Formal	25.26	7.72	-17.54	-69.4%
Extracted.BranchChip	20.23	2.73	-17.50	-86.5%
Operations.AddrAddOperation.RawSpec	22.61	5.24	-17.37	-76.8%
Readers.ALUTypeReader	23.33	6.18	-17.15	-73.5%
Chips.JalrChip.Formal	22.56	6.15	-16.41	-72.7%
Chips.ShiftLeftChip.Soundness.Sll	60.28	45.03	-15.25	-25.3%
Extracted.StoreByteChip	17.30	2.66	-14.64	-84.6%
Extracted.LoadX0Chip	15.00	2.57	-12.43	-82.9%
Chips.LoadByteChip.Formal	19.67	7.32	-12.35	-62.8%
Extracted.LoadByteChip	14.44	2.63	-11.81	-81.8%
Extracted.MulChip	14.15	2.44	-11.71	-82.8%
Extracted.BitwiseChip	13.66	2.39	-11.27	-82.5%
Operations.SubOperation.RawSpec	20.02	8.78	-11.24	-56.1%
Operations.LtOperationSigned.Formal	16.70	5.48	-11.22	-67.2%
Operations.AddOperation.RawSpec	15.84	4.89	-10.95	-69.1%
Chips.LoadHalfChip.Formal	17.43	6.57	-10.86	-62.3%
Chips.StoreHalfChip.Formal	15.69	5.33	-10.36	-66.0%
Chips.ShiftLeftChip.Soundness.Sllw	51.59	41.46	-10.13	-19.6%
Extracted.StoreHalfChip	12.30	2.36	-9.94	-80.8%
Extracted.LoadHalfChip	12.24	2.41	-9.83	-80.3%
Chips.LoadDoubleChip.Bridge	12.77	3.53	-9.24	-72.4%
Operations.AddwOperation.RawSpec	13.02	4.16	-8.86	-68.0%
Extracted.LoadWordChip	11.24	2.39	-8.85	-78.7%
Chips.LoadX0Chip.Formal	14.67	6.67	-8.00	-54.5%
Extracted.StoreWordChip	10.10	2.29	-7.81	-77.3%
Operations.LtOperationUnsigned.Formal	12.49	5.74	-6.75	-54.0%
Operations.SubwOperation.RawSpec	10.70	3.97	-6.73	-62.9%
Operations.BitwiseOperation.Formal	10.78	4.29	-6.49	-60.2%
Chips.StoreWordChip.Formal	11.54	5.06	-6.48	-56.2%
Extracted.BitwiseU16Operation	8.51	2.15	-6.36	-74.7%
Chips.JalChip.Formal	10.63	4.52	-6.11	-57.5%
Chips.LoadWordChip.Formal	11.33	5.82	-5.51	-48.6%
Extracted.UTypeChip	7.58	2.20	-5.38	-71.0%
Operations.AddwOperation.Formal	8.97	3.74	-5.23	-58.3%
Extracted.LoadDoubleChip	7.38	2.16	-5.22	-70.7%
Operations.SubwOperation.Formal	8.35	3.66	-4.69	-56.2%
Extracted.StoreDoubleChip	6.80	2.16	-4.64	-68.2%
Extracted.LtOperationUnsigned	6.67	2.06	-4.61	-69.1%
Operations.LtOperationUnsigned.Extracted	10.47	6.05	-4.42	-42.2%
Chips.BranchChip.Defs	12.87	8.54	-4.33	-33.6%
Operations.LtOperationUnsigned.RawSpec	31.43	27.22	-4.21	-13.4%
Extracted.AluX0Chip	6.24	2.08	-4.16	-66.7%
Chips.DivRemChip.Assembly	6.22	2.13	-4.09	-65.8%
Extracted.JalChip	6.16	2.09	-4.07	-66.1%
Chips.UTypeChip.Formal	8.32	4.65	-3.67	-44.1%
Extracted.LtChip	5.69	2.08	-3.61	-63.4%
Extracted.ALUTypeReader	5.67	2.11	-3.56	-62.8%
Extracted.JalrChip	6.18	2.77	-3.41	-55.2%
Operations.LtOperationSigned.RawSpec	5.88	2.84	-3.04	-51.7%
Chips.StoreByteChip.Defs	7.31	4.59	-2.72	-37.2%
Operations.IsEqualWordOperation.Formal	5.37	2.71	-2.66	-49.5%
Operations.AddOperation.Formal	6.07	3.45	-2.62	-43.2%
Operations.SubOperation.Formal	5.81	3.20	-2.61	-44.9%
Chips.LoadDoubleChip.Formal	6.38	3.92	-2.46	-38.6%
Extracted.AddwChip	4.50	2.06	-2.44	-54.2%
Operations.AddrAddOperation.Formal	5.80	3.37	-2.43	-41.9%
Operations.BitwiseU16Operation	6.86	4.50	-2.36	-34.4%
Extracted.RTypeReader	4.45	2.12	-2.33	-52.4%
Readers.ITypeReaderImmutable	6.57	4.25	-2.32	-35.3%
Extracted.AddiChip	4.20	2.00	-2.20	-52.4%
Operations.MulOperation.RawSpec	43.14	40.94	-2.20	-5.1%
Extracted.SubwChip	4.23	2.05	-2.18	-51.5%
Extracted.AddChip	4.18	2.05	-2.13	-51.0%
Chips.MulChip.Defs	13.64	11.57	-2.07	-15.2%
Extracted.SubChip	4.12	2.08	-2.04	-49.5%
Chips.ShiftLeftChip.Core	31.12	29.16	-1.96	-6.3%
Operations.U16toU8OperationSafe	4.82	2.87	-1.95	-40.5%
Operations.AddrAddOperation.Populate	4.58	2.69	-1.89	-41.3%
Extracted.LtOperationSigned	3.78	1.95	-1.83	-48.4%
Chips.LoadWordChip.Bridge	4.87	3.11	-1.76	-36.1%
Operations.AddressOperation	6.55	4.79	-1.76	-26.9%
Chips.StoreHalfChip.Defs	5.29	3.61	-1.68	-31.8%
Extracted.ITypeReader	3.66	1.99	-1.67	-45.6%
Chips.ShiftRightChip.Math	4.42	2.83	-1.59	-36.0%
Extracted.ITypeReaderImmutable	3.44	1.89	-1.55	-45.1%
Operations.IsZeroWordOperation.Formal	4.57	3.06	-1.51	-33.0%
Extracted.AddressOperation	3.25	1.88	-1.37	-42.2%
Operations.AddOperation.Extracted	3.99	2.67	-1.32	-33.1%
Operations.LtOperationSigned.Extracted	3.71	2.40	-1.31	-35.3%
Operations.BitwiseOperation.RawSpec	3.46	2.22	-1.24	-35.8%
Chips.LoadByteChip.Defs	5.80	4.59	-1.21	-20.9%
Operations.SubOperation.Extracted	3.58	2.38	-1.20	-33.5%
WitnessTests.MulOperationWitnessVectors	24.16	23.07	-1.09	-4.5%
Readers.RTypeReader	6.01	4.94	-1.07	-17.8%
Chips.StoreWordChip.Defs	4.64	3.58	-1.06	-22.8%
Extracted.JTypeReader	2.98	1.92	-1.06	-35.6%
Chips.AddwChip.Formal	5.04	4.01	-1.03	-20.4%
Chips.AddChip.Formal	4.50	3.48	-1.02	-22.7%
Chips.DivRemChip.Extract	4.19	3.22	-0.97	-23.2%
Chips.SubChip.Formal	4.54	3.57	-0.97	-21.4%
Operations.BitwiseOperation.Extracted	3.25	2.31	-0.94	-28.9%
Chips.LoadHalfChip.Defs	5.12	4.21	-0.91	-17.8%
Operations.AddrAddOperation.Extracted	3.44	2.54	-0.90	-26.2%
Chips.AddiChip.Formal	4.19	3.31	-0.88	-21.0%
Chips.JalrChip.Defs	4.53	3.65	-0.88	-19.4%
Extracted.SubOperation	2.71	1.87	-0.84	-31.0%
Chips.LoadWordChip.Defs	5.00	4.19	-0.81	-16.2%
Chips.SubwChip.Formal	4.84	4.07	-0.77	-15.9%
Chips.BitwiseChip.Defs	5.08	4.33	-0.75	-14.8%
Extracted.AddOperation	2.65	1.90	-0.75	-28.3%
Extracted.U16toU8OperationSafe	2.60	1.86	-0.74	-28.5%
Chips.UTypeChip.Defs	3.49	2.76	-0.73	-20.9%
Operations.LtOperationUnsigned.Populate	2.71	1.98	-0.73	-26.9%
Extracted.BitwiseOperation	2.54	1.82	-0.72	-28.3%
Readers.ITypeReader	4.95	4.24	-0.71	-14.3%
Operations.MulOperation.Populate	2.67	1.99	-0.68	-25.5%
Extracted.AddrAddOperation	2.52	1.85	-0.67	-26.6%
Chips.MulChip.Formal	16.54	15.92	-0.62	-3.7%
Chips.StoreDoubleChip.Formal	4.34	3.72	-0.62	-14.3%
Operations.IsZeroWordOperation.Populate	2.46	1.85	-0.61	-24.8%
