import took 958ms
elaboration took 90.4ms
instantiate metavars took 3.35s
process pre-definitions took 82.8ms
elaboration took 1.79s
type checking took 86.9ms
type checking took 139ms
compilation (LCNF base) took 99.5ms
tactic execution of Lean.Parser.Tactic.omega took 986ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 51.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53ms
