import took 947ms
interpretation of ProvableStructDeriving.provableStructDerivingHandler._boxed took 60.7ms
tactic execution of Lean.Parser.Tactic.omega took 384ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 50.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 79.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 80.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.1ms
